Company,Ticker
"Shaanxi Huaqin Technology Industry Co., Ltd.",688281.SS
Sansure Biotech Inc.,688289.SS
"Zhongfu Shenying Carbon Fiber Co., Ltd",688295.SS
iRay Technology Company Limited,688301.SS
688303,688303.SS
"Shenzhen Fortune Trend Technology Co., Ltd",688318.SS
"Xi'an Bright Laser Technologies Co., Ltd",688333.SS
"Yuneng Technology Co., Ltd.",688348.SS
"Shanghai Fudan Microelectronics Group CO.,LTD.",688385.SS
"Guangdong Jiayuan Technology Co., Ltd.",688388.SS
"GoodWe Technologies Co.,Ltd.",688390.SS
"Arctech Solar Holding Co., Ltd.",688408.SS
"Guizhou Zhenhua Fengguang Semiconductor Co.,Ltd.",688439.SS
"Southchip Semiconductor Technology（Shanghai）Co., Ltd.",688484.SS
"Guangdong Lyric Robot Automation Co., Ltd.",688499.SS
"Wuxi Autowell Technology CO.,Ltd",688516.SS
"Shenzhen United Winners Laser Co.,Ltd.",688518.SS
688526,688526.SS
3PEAK INCORPORATED,688536.SS
"Qingdao Gaoce Technology Co., Ltd",688556.SS
"Hymson Laser Technology Group Co.,Ltd.",688559.SS
"Geovis Technology Co.,Ltd",688568.SS
688575,688575.SS
"Shanghai Allist Pharmaceuticals Co., Ltd",688578.SS
"Shanghai Gentech Co.,Ltd",688596.SS
APT Medical Inc.,688617.SS
"Circuit Fabology Microelectronics Equipment Co., Ltd.",688630.SS
688639,688639.SS
SUZHOU NANOMICRO TECHNOLOGY COMPANY LIMITED,688690.SS
"XGIMI Technology CO., LTD",688696.SS
"Kunshan Dongwei Technology Co.,Ltd.",688700.SS
Guizhou Zhenhua E-chem Inc.,688707.SS
"Macmic Science & Technology Co., Ltd.",688711.SS
"XTC New Energy Materials( Xiamen) Co., Ltd.",688778.SS
"Minmetals New Energy Materials(Hunan)Co.,Ltd",688779.SS
"Suzhou Recodeal Interconnect System Co.,Ltd",688800.SS
